type of place of residence,source of drinking water,time to get to water source,type of toilet facility,toilet facilities shared with other households,household has: electricity,household has: radio,household has: television,main floor material,main wall material,main roof material,type of cooking fuel,use of internet,frequency of listening to radio,frequency of watching television,frequency of reading newspaper or magazine
2,14,60,22,0.0,1,0,0,34,31,31,9,1,0,0,0
2,14,30,22,0.0,1,0,0,11,21,31,9,0,0,0,0
2,14,60,22,0.0,1,1,1,34,36,31,8,2,2,2,0
2,14,10,22,0.0,1,1,0,11,21,31,9,0,2,0,0
2,14,60,22,1.0,1,0,0,11,36,31,9,0,2,0,0
2,14,60,22,1.0,1,0,0,34,36,31,8,1,2,0,0
2,12,996,22,0.0,1,0,1,34,31,31,8,1,2,2,2
2,12,996,22,0.0,1,0,1,34,31,31,8,0,2,2,0
2,12,996,22,0.0,1,0,1,34,31,31,8,0,2,2,0
2,14,60,23,0.0,1,1,1,34,31,31,8,0,2,2,0
2,14,20,22,0.0,1,1,0,11,36,31,7,2,2,2,0
2,41,50,23,0.0,0,1,0,11,23,33,9,0,2,0,0
2,41,50,23,0.0,0,1,0,11,23,33,9,0,2,0,0
2,41,50,23,0.0,0,1,0,11,21,33,8,0,2,0,0
2,41,50,23,0.0,0,1,0,11,21,33,8,0,2,0,0
2,97,997,97,7.0,7,7,7,97,97,97,97,0,1,0,0
2,41,25,22,0.0,0,0,0,11,23,33,9,0,2,0,0
2,41,25,22,0.0,0,0,0,11,23,33,9,0,2,0,0
2,41,25,22,0.0,0,0,0,11,23,33,9,0,1,0,0
2,31,30,23,0.0,0,0,0,11,24,33,9,0,2,0,0
2,41,30,23,0.0,0,0,0,34,21,33,9,0,1,0,0
2,14,5,31,,0,0,0,11,23,31,8,0,1,0,0
2,41,30,23,0.0,0,0,0,11,21,33,9,0,2,0,0
2,41,30,23,0.0,0,0,0,11,21,33,9,0,2,0,0
2,41,60,23,0.0,0,0,0,11,21,33,8,0,1,0,0
2,41,45,23,0.0,0,0,0,11,23,33,9,0,2,0,0
2,14,20,22,0.0,0,0,0,11,23,33,9,0,2,0,0
2,14,35,22,0.0,0,1,0,34,36,33,8,0,2,0,1
2,32,30,22,0.0,1,0,0,11,36,33,8,0,2,0,0
2,32,30,22,0.0,1,0,0,11,36,33,8,0,2,0,0
2,32,30,22,0.0,1,0,0,11,36,33,8,0,2,0,1
2,14,30,22,0.0,0,0,0,11,36,33,8,0,0,0,0
2,42,40,22,0.0,0,0,0,34,36,31,8,0,0,0,0
2,14,15,22,0.0,0,1,0,11,36,33,8,0,2,0,0
2,31,30,22,0.0,0,1,0,11,23,31,8,0,1,0,0
2,42,20,23,0.0,0,0,0,11,23,33,8,0,0,0,0
2,14,25,21,0.0,0,1,0,11,36,31,8,0,2,0,0
2,41,45,22,0.0,0,0,0,11,23,33,8,0,1,0,0
2,42,55,22,0.0,0,0,0,11,23,31,8,0,0,0,0
2,42,20,14,0.0,0,1,0,11,36,31,8,0,2,0,0
2,42,40,22,0.0,0,1,0,34,36,31,8,0,2,1,0
2,31,40,22,0.0,1,1,0,11,36,31,8,0,2,0,0
2,41,20,22,0.0,1,1,0,11,36,31,8,0,2,0,0
2,42,5,23,0.0,0,0,0,11,23,33,8,0,0,0,0
2,42,30,22,0.0,0,0,0,11,23,33,8,0,2,0,0
2,42,45,22,0.0,0,0,0,11,31,31,8,0,1,0,0
2,14,30,14,0.0,1,0,0,34,36,31,8,0,2,0,0
2,32,50,22,0.0,1,0,0,11,36,33,9,0,2,0,0
2,31,60,22,0.0,1,1,0,11,36,31,9,0,2,0,0
2,41,30,22,0.0,0,0,0,11,23,33,8,0,0,0,0
2,41,30,22,0.0,0,0,0,11,23,33,8,0,0,0,0
2,41,30,22,0.0,0,0,0,11,23,33,8,0,1,0,0
2,14,10,22,1.0,1,0,0,11,23,31,8,0,2,1,1
2,14,40,22,0.0,1,1,0,11,23,31,8,1,2,1,1
2,14,40,22,0.0,1,1,0,11,23,31,8,0,2,1,0
2,14,10,22,1.0,1,0,0,11,33,31,8,0,2,2,0
2,14,15,22,0.0,1,1,1,11,23,31,8,0,2,1,0
2,14,15,22,0.0,1,1,1,11,23,31,8,1,2,2,0
2,14,15,22,0.0,1,0,0,11,23,31,8,0,2,0,0
2,14,15,22,0.0,1,0,0,34,36,31,8,0,1,1,0
2,14,10,22,1.0,1,1,0,34,36,31,9,0,2,1,2
2,14,10,22,1.0,1,1,0,34,36,31,9,0,2,1,0
2,14,10,22,1.0,1,1,0,34,36,31,9,0,2,1,2
2,12,996,22,0.0,1,0,1,34,23,31,8,1,2,2,2
2,12,996,22,0.0,1,0,1,34,23,31,8,1,2,2,1
2,14,15,22,0.0,1,1,0,34,36,31,7,1,2,1,2
2,14,10,23,0.0,1,0,0,11,36,31,8,0,2,1,0
2,14,30,22,0.0,1,1,0,34,36,31,8,0,2,1,1
2,14,30,22,0.0,0,0,0,11,23,31,8,0,2,2,0
2,21,60,22,0.0,0,1,0,34,36,31,8,0,2,1,1
2,21,10,22,0.0,0,0,0,11,36,31,8,0,2,2,0
2,21,10,22,0.0,0,0,0,11,36,31,8,0,2,2,0
2,21,80,22,0.0,0,1,0,34,36,31,8,1,2,1,0
2,21,60,23,0.0,0,0,0,11,23,31,8,0,2,2,0
2,21,30,23,1.0,0,0,0,11,36,31,8,0,2,1,0
2,21,30,23,0.0,0,0,0,11,23,31,8,0,2,2,2
2,21,90,22,0.0,1,1,0,34,36,31,8,0,2,1,1
2,21,90,22,0.0,1,1,0,34,36,31,8,0,2,2,1
2,21,20,23,0.0,0,0,0,11,36,31,8,0,2,2,0
2,41,20,23,0.0,0,0,0,11,23,33,8,0,0,0,0
2,41,20,23,0.0,0,0,0,11,23,33,8,0,0,0,0
2,42,30,23,0.0,0,0,0,11,23,33,8,0,0,0,0
2,14,10,22,0.0,0,1,0,11,23,33,8,0,0,0,2
2,42,40,22,1.0,0,0,0,11,22,33,8,0,0,0,1
2,42,15,23,0.0,0,0,0,11,23,33,8,0,0,0,0
2,42,60,22,0.0,0,1,0,11,23,33,8,0,2,0,0
2,41,35,23,0.0,0,0,0,11,23,33,9,0,1,0,0
2,41,30,23,0.0,0,0,0,11,23,33,8,0,0,0,0
2,41,30,23,0.0,0,0,0,11,23,33,8,0,0,0,0
2,41,30,23,0.0,0,0,0,11,23,33,8,0,0,0,0
2,42,30,22,0.0,0,0,0,11,23,33,8,0,1,0,0
2,42,55,23,0.0,0,0,0,11,23,33,8,0,0,0,0
2,42,55,23,0.0,0,0,0,11,23,33,8,0,2,0,0
2,42,25,23,0.0,0,0,0,11,23,33,8,0,0,0,0
2,14,20,22,0.0,1,0,0,11,23,33,8,0,0,0,0
2,14,20,22,0.0,1,0,0,11,23,33,8,0,2,1,1
2,14,20,22,0.0,1,0,0,11,23,33,8,0,0,0,2
2,14,30,22,0.0,0,1,0,11,23,33,8,0,2,0,0
2,14,30,22,0.0,0,1,0,11,23,33,8,0,2,1,0
2,14,30,22,0.0,0,1,0,11,23,33,8,0,2,0,0
2,14,30,22,0.0,0,1,0,11,23,33,8,0,0,0,0
2,41,30,31,,0,0,0,11,36,33,8,0,1,0,0
2,14,40,22,0.0,0,0,0,11,23,33,8,0,1,1,1
2,42,40,22,0.0,0,0,0,11,23,33,8,0,0,0,0
2,14,25,21,0.0,0,0,0,11,23,33,8,0,0,0,0
2,31,10,22,0.0,0,1,0,11,23,33,8,0,2,0,0
